time,tag,tr,flag,tell
2024-11-03 17:51:52.669734,click,,,f2
2024-11-03 17:51:52.720277,ct,0.756167,correct comission,f2
2024-11-03 17:51:53.452496,click,,,f2
2024-11-03 17:51:53.524475,ct,0.732219,correct comission,f2
2024-11-03 17:51:54.244195,click,,,f2
2024-11-03 17:51:54.335403,ct,0.71972,correct comission,f2
2024-11-03 17:51:55.034727,click,,,f2
2024-11-03 17:51:55.148872,ct,0.699324,correct comission,f2
2024-11-03 17:51:56.013631,click,,,f2
2024-11-03 17:51:55.959544,ct,0.864759,correct comission,f2
2024-11-03 17:51:56.608494,click,,,f2
2024-11-03 17:51:56.770437,ct,0.64895,correct comission,f2
2024-11-03 17:51:57.356496,click,,,f2
2024-11-03 17:51:57.581072,ct,0.586059,correct comission,f2
2024-11-03 17:51:58.142234,click,,,f2
2024-11-03 17:51:58.384803,ct,0.561162,correct comission,f2
2024-11-03 17:51:58.924290,click,,,f3
2024-11-03 17:51:59.190502,ct,0.539487,correct comission,f3
2024-11-03 17:51:59.810678,click,,,f2
2024-11-03 17:51:59.991820,ct,0.620176,correct comission,f2
2024-11-03 17:52:00.639350,click,,,f2
2024-11-03 17:52:00.801772,ct,0.64753,correct comission,f2
2024-11-03 17:52:01.717412,click,,,f2
2024-11-03 17:52:01.610030,ct,0.91564,correct comission,f2
2024-11-03 17:52:02.246177,click,,,f2
2024-11-03 17:52:02.406940,ct,0.636147,correct comission,f2
2024-11-03 17:52:03.039569,click,,,f4
2024-11-03 17:52:03.206171,mt,0.632629,comission error,f4
2024-11-03 17:52:04.004383,ct,,omission error,f6
2024-11-03 17:52:04.594521,click,,,f2
2024-11-03 17:52:04.808506,ct,0.590138,correct comission,f2
2024-11-03 17:52:05.664356,click,,,f2
2024-11-03 17:52:05.609948,ct,0.85585,correct comission,f2
2024-11-03 17:52:06.285515,click,,,f2
2024-11-03 17:52:06.413244,ct,0.675567,correct comission,f2
2024-11-03 17:52:07.094320,click,,,f2
2024-11-03 17:52:07.217755,ct,0.681076,correct comission,f2
2024-11-03 17:52:07.957242,click,,,f2
2024-11-03 17:52:08.016744,ct,0.739487,correct comission,f2
2024-11-03 17:52:08.733216,click,,,f2
2024-11-03 17:52:08.815809,ct,0.716472,correct comission,f2
2024-11-03 17:52:09.347696,click,,,f3
2024-11-03 17:52:09.617736,ct,0.531887,correct comission,f3
2024-11-03 17:52:10.230367,click,,,f2
2024-11-03 17:52:10.428870,ct,0.612631,correct comission,f2
2024-11-03 17:52:11.028945,click,,,f4
2024-11-03 17:52:11.233041,mt,0.600075,comission error,f4
2024-11-03 17:52:11.844591,click,,,f2
2024-11-03 17:52:12.031751,ct,0.61155,correct comission,f2
2024-11-03 17:52:12.673760,click,,,f2
2024-11-03 17:52:12.840223,ct,0.642009,correct comission,f2
2024-11-03 17:52:13.471324,click,,,f2
2024-11-03 17:52:13.638884,ct,0.631101,correct comission,f2
2024-11-03 17:52:14.242326,click,,,f2
2024-11-03 17:52:14.443904,ct,0.603442,correct comission,f2
2024-11-03 17:52:15.524414,click,,,f2
2024-11-03 17:52:15.249027,ct,1.08051,correct comission,f2
2024-11-03 17:52:16.048095,ct,,omission error,f6
2024-11-03 17:52:16.832567,click,,,f2
2024-11-03 17:52:16.854643,ct,0.784472,correct comission,f2
2024-11-03 17:52:17.538002,click,,,f2
2024-11-03 17:52:17.653247,ct,0.683359,correct comission,f2
2024-11-03 17:52:18.421430,click,,,f4
2024-11-03 17:52:18.455796,mt,0.768183,comission error,f4
2024-11-03 17:52:19.260381,ct,,omission error,f6
2024-11-03 17:52:19.924723,click,,,f2
2024-11-03 17:52:20.059724,ct,0.664342,correct comission,f2
2024-11-03 17:52:20.708377,click,,,f2
2024-11-03 17:52:20.863549,ct,0.648653,correct comission,f2
2024-11-03 17:52:21.556734,click,,,f2
2024-11-03 17:52:21.668675,ct,0.693185,correct comission,f2
2024-11-03 17:52:22.342429,click,,,f2
2024-11-03 17:52:22.479682,ct,0.673754,correct comission,f2
2024-11-03 17:52:23.278369,ct,,omission error,f6
2024-11-03 17:52:23.926836,click,,,f2
2024-11-03 17:52:24.086659,ct,0.648467,correct comission,f2
2024-11-03 17:52:24.532043,click,,,f3
2024-11-03 17:52:24.891551,ct,0.445384,correct comission,f3
2024-11-03 17:52:25.687554,click,,,f2
2024-11-03 17:52:25.691493,ct,0.796003,correct comission,f2
2024-11-03 17:52:26.296052,click,,,f2
2024-11-03 17:52:26.512385,ct,0.604559,correct comission,f2
2024-11-03 17:52:27.061892,click,,,f3
2024-11-03 17:52:27.313203,ct,0.549507,correct comission,f3
2024-11-03 17:52:27.908226,click,,,f2
2024-11-03 17:52:28.113264,ct,0.595023,correct comission,f2
2024-11-03 17:52:28.661849,click,,,f4
2024-11-03 17:52:28.913977,mt,0.548585,comission error,f4
2024-11-03 17:52:29.393457,click,,,f3
2024-11-03 17:52:29.725388,ct,0.47948,correct comission,f3
2024-11-03 17:52:30.288437,click,,,f2
2024-11-03 17:52:30.529612,ct,0.563049,correct comission,f2
2024-11-03 17:52:30.983625,click,,,f3
2024-11-03 17:52:31.340889,ct,0.454013,correct comission,f3
2024-11-03 17:52:31.987529,click,,,f2
2024-11-03 17:52:32.142962,ct,0.64664,correct comission,f2
2024-11-03 17:52:32.952244,click,,,f2
2024-11-03 17:52:32.940282,ct,0.809282,correct comission,f2
2024-11-03 17:52:33.991523,click,,,f4
2024-11-03 17:52:33.743603,mt,1.051241,comission error,f4
2024-11-03 17:52:34.547511,ct,,omission error,f6
2024-11-03 17:52:35.172599,click,,,f2
2024-11-03 17:52:35.349905,ct,0.625088,correct comission,f2
2024-11-03 17:52:35.812882,click,,,f3
