time,tag,tr,flag,tell
2024-11-03 15:58:59.345200,ct,,,start
2024-11-03 15:58:59.836677,click,,,f3
2024-11-03 15:59:00.182112,ct,0.491477,correct comission,f3
2024-11-03 15:59:00.575342,click,,,f3
2024-11-03 15:59:00.984371,ct,0.39323,correct comission,f3
2024-11-03 15:59:01.866139,click,,,f4
2024-11-03 15:59:01.780913,mt,0.881768,comission error,f4
2024-11-03 15:59:02.580412,ct,,omission error,f6
2024-11-03 15:59:03.218615,click,,,f2
2024-11-03 15:59:03.385579,ct,0.638203,correct comission,f2
2024-11-03 15:59:04.195864,click,,,f2
2024-11-03 15:59:04.183261,ct,0.810285,correct comission,f2
2024-11-03 15:59:04.819573,click,,,f2
2024-11-03 15:59:04.983258,ct,0.636312,correct comission,f2
2024-11-03 15:59:05.566282,click,,,f2
2024-11-03 15:59:05.785789,ct,0.583024,correct comission,f2
2024-11-03 15:59:06.382069,click,,,f2
2024-11-03 15:59:06.587194,ct,0.59628,correct comission,f2
2024-11-03 15:59:07.209865,click,,,f2
2024-11-03 15:59:07.387216,ct,0.622671,correct comission,f2
2024-11-03 15:59:08.253247,click,,,f2
2024-11-03 15:59:08.189041,ct,0.866031,correct comission,f2
2024-11-03 15:59:08.957258,click,,,f4
2024-11-03 15:59:08.993963,mt,0.768217,comission error,f4
2024-11-03 15:59:09.800243,ct,,omission error,f6
2024-11-03 15:59:10.415367,click,,,f2
2024-11-03 15:59:10.603805,ct,0.615124,correct comission,f2
2024-11-03 15:59:11.445095,click,,,f2
2024-11-03 15:59:11.411047,ct,0.84129,correct comission,f2
2024-11-03 15:59:12.039075,click,,,f2
2024-11-03 15:59:12.215846,ct,0.628028,correct comission,f2
2024-11-03 15:59:12.738955,click,,,f3
2024-11-03 15:59:13.020559,ct,0.523109,correct comission,f3
2024-11-03 15:59:13.435244,click,,,f3
2024-11-03 15:59:13.824688,ct,0.414685,correct comission,f3
2024-11-03 15:59:14.282935,click,,,f3
2024-11-03 15:59:14.628588,ct,0.458247,correct comission,f3
2024-11-03 15:59:14.967576,click,,,f3
2024-11-03 15:59:15.430740,ct,0.338988,correct comission,f3
2024-11-03 15:59:16.461568,click,,,f2
2024-11-03 15:59:16.228429,ct,1.030828,correct comission,f2
2024-11-03 15:59:17.164900,click,,,f2
2024-11-03 15:59:17.026763,ct,0.936471,correct comission,f2
2024-11-03 15:59:17.905035,click,,,f2
2024-11-03 15:59:17.830027,ct,0.878272,correct comission,f2
2024-11-03 15:59:18.752337,click,,,f4
2024-11-03 15:59:18.633825,mt,0.92231,comission error,f4
2024-11-03 15:59:19.430750,ct,,omission error,f6
2024-11-03 15:59:20.133644,click,,,f2
2024-11-03 15:59:20.227836,ct,0.702894,correct comission,f2
2024-11-03 15:59:20.909878,click,,,f2
2024-11-03 15:59:21.031503,ct,0.682042,correct comission,f2
2024-11-03 15:59:21.874659,click,,,f2
2024-11-03 15:59:21.830523,ct,0.843156,correct comission,f2
2024-11-03 15:59:22.604310,click,,,f2
2024-11-03 15:59:22.632809,ct,0.773787,correct comission,f2
