time,tag,tr,flag,tell
2024-11-03 16:28:52.176936,mt,,,start
2024-11-03 16:28:53.155767,ct,,omission error,f6
2024-11-03 16:28:53.960159,ct,,omission error,f6
2024-11-03 16:28:54.861766,click,,,f2
2024-11-03 16:28:54.761189,ct,0.901607,correct comission,f2
2024-11-03 16:28:55.711935,click,,,f2
2024-11-03 16:28:55.563475,ct,0.950746,correct comission,f2
2024-11-03 16:28:56.450355,click,,,f2
2024-11-03 16:28:56.363512,ct,0.88688,correct comission,f2
2024-11-03 16:28:57.164967,click,,,f2
2024-11-03 16:28:57.165508,ct,0.801455,correct comission,f2
2024-11-03 16:28:57.919100,click,,,f2
2024-11-03 16:28:57.969539,ct,0.753592,correct comission,f2
2024-11-03 16:28:58.803211,click,,,f2
2024-11-03 16:28:58.780197,ct,0.833672,correct comission,f2
2024-11-03 16:28:59.583903,click,,,f2
2024-11-03 16:28:59.584577,ct,0.803706,correct comission,f2
2024-11-03 16:29:00.396939,ct,,omission error,f6
2024-11-03 16:29:01.020928,click,,,f2
2024-11-03 16:29:01.197163,ct,0.623989,correct comission,f2
2024-11-03 16:29:01.755192,click,,,f3
2024-11-03 16:29:02.001955,ct,0.558029,correct comission,f3
2024-11-03 16:29:02.704082,click,,,f2
2024-11-03 16:29:02.804881,ct,0.702127,correct comission,f2
2024-11-03 16:29:03.519733,click,,,f2
2024-11-03 16:29:03.605499,ct,0.714852,correct comission,f2
2024-11-03 16:29:04.509611,click,,,f4
2024-11-03 16:29:04.411062,mt,0.904112,comission error,f4
2024-11-03 16:29:05.208177,ct,,omission error,f6
2024-11-03 16:29:05.837968,click,,,f2
2024-11-03 16:29:06.007606,ct,0.629791,correct comission,f2
2024-11-03 16:29:06.895043,click,,,f2
2024-11-03 16:29:06.805669,ct,0.887437,correct comission,f2
2024-11-03 16:29:07.680559,click,,,f2
2024-11-03 16:29:07.604038,ct,0.87489,correct comission,f2
2024-11-03 16:29:08.467610,click,,,f4
2024-11-03 16:29:08.412180,mt,0.863572,comission error,f4
2024-11-03 16:29:09.216554,ct,,omission error,f6
2024-11-03 16:29:09.615875,click,,,f3
2024-11-03 16:29:10.032411,ct,0.399321,correct comission,f3
2024-11-03 16:29:10.866087,click,,,f2
