time,tag,tr,flag,tell
2024-11-03 17:24:36.338169,ct,,,start
2024-11-03 17:24:37.385654,click,,,f2
2024-11-03 17:24:37.149358,ct,1.047485,correct comission,f2
2024-11-03 17:24:37.865854,click,,,f2
2024-11-03 17:24:37.952802,ct,0.716496,correct comission,f2
2024-11-03 17:24:38.674876,click,,,f2
2024-11-03 17:24:38.762664,ct,0.722074,correct comission,f2
2024-11-03 17:24:39.561872,ct,,omission error,f6
2024-11-03 17:24:40.277325,click,,,f2
2024-11-03 17:24:40.372455,ct,0.715453,correct comission,f2
2024-11-03 17:24:40.953628,click,,,f4
2024-11-03 17:24:41.170566,mt,0.581173,comission error,f4
2024-11-03 17:24:41.975646,ct,,omission error,f6
2024-11-03 17:24:42.659320,click,,,f2
2024-11-03 17:24:42.779662,ct,0.683674,correct comission,f2
2024-11-03 17:24:43.261085,click,,,f3
2024-11-03 17:24:43.586221,ct,0.481423,correct comission,f3
2024-11-03 17:24:44.102170,click,,,f4
2024-11-03 17:24:44.393790,mt,0.515949,comission error,f4
2024-11-03 17:24:45.194636,ct,,omission error,f6
2024-11-03 17:24:45.854042,click,,,f2
2024-11-03 17:24:45.998143,ct,0.659406,correct comission,f2
2024-11-03 17:24:46.444149,click,,,f3
2024-11-03 17:24:46.812464,ct,0.446006,correct comission,f3
2024-11-03 17:24:47.309452,click,,,f3
2024-11-03 17:24:47.613982,ct,0.496988,correct comission,f3
2024-11-03 17:24:48.204275,click,,,f2
2024-11-03 17:24:48.424969,ct,0.590293,correct comission,f2
2024-11-03 17:24:49.070060,click,,,f2
2024-11-03 17:24:49.236751,ct,0.645091,correct comission,f2
2024-11-03 17:24:50.049815,ct,,omission error,f6
2024-11-03 17:24:50.711807,click,,,f2
2024-11-03 17:24:50.856634,ct,0.661992,correct comission,f2
2024-11-03 17:24:51.351940,click,,,f3
2024-11-03 17:24:51.676597,ct,0.495306,correct comission,f3
2024-11-03 17:24:52.516606,click,,,f4
2024-11-03 17:24:52.482326,mt,0.840009,comission error,f4
2024-11-03 17:24:53.281475,ct,,omission error,f6
2024-11-03 17:24:53.865294,click,,,f2
2024-11-03 17:24:54.109006,ct,0.583819,correct comission,f2
2024-11-03 17:24:54.567924,click,,,f3
2024-11-03 17:24:54.914894,ct,0.458918,correct comission,f3
2024-11-03 17:24:55.373872,click,,,f3
2024-11-03 17:24:55.727534,ct,0.458978,correct comission,f3
2024-11-03 17:24:56.254709,click,,,f3
2024-11-03 17:24:56.538948,ct,0.527175,correct comission,f3
2024-11-03 17:24:57.056463,click,,,f3
2024-11-03 17:24:57.354092,ct,0.517515,correct comission,f3
2024-11-03 17:24:57.835894,click,,,f3
2024-11-03 17:24:58.158767,ct,0.481802,correct comission,f3
2024-11-03 17:24:58.815132,click,,,f2
2024-11-03 17:24:58.972172,ct,0.656365,correct comission,f2
2024-11-03 17:24:59.511879,click,,,f3
2024-11-03 17:24:59.775590,ct,0.539707,correct comission,f3
2024-11-03 17:25:00.710928,click,,,f2
2024-11-03 17:25:00.580409,ct,0.935338,correct comission,f2
2024-11-03 17:25:01.254820,click,,,f2
2024-11-03 17:25:01.400775,ct,0.674411,correct comission,f2
2024-11-03 17:25:01.952379,click,,,f4
2024-11-03 17:25:02.208850,mt,0.551604,comission error,f4
2024-11-03 17:25:03.013514,ct,,omission error,f6
2024-11-03 17:25:03.535548,click,,,f3
2024-11-03 17:25:03.825943,ct,0.522034,correct comission,f3
2024-11-03 17:25:04.265199,click,,,f3
2024-11-03 17:25:04.638559,ct,0.439256,correct comission,f3
2024-11-03 17:25:04.970262,click,,,f3
2024-11-03 17:25:05.449453,ct,0.331703,correct comission,f3
2024-11-03 17:25:06.256972,ct,,omission error,f6
2024-11-03 17:25:06.616651,click,,,f3
2024-11-03 17:25:07.065692,ct,0.359679,correct comission,f3
2024-11-03 17:25:07.530807,click,,,f4
2024-11-03 17:25:07.863906,mt,0.465115,comission error,f4
2024-11-03 17:25:08.676864,ct,,omission error,f6
2024-11-03 17:25:09.183679,click,,,f3
2024-11-03 17:25:09.480859,ct,0.506815,correct comission,f3
2024-11-03 17:25:09.853023,click,,,f3
2024-11-03 17:25:10.289358,ct,0.372164,correct comission,f3
2024-11-03 17:25:11.100269,ct,,omission error,f6
2024-11-03 17:25:11.545936,click,,,f3
2024-11-03 17:25:11.909604,ct,0.445667,correct comission,f3
2024-11-03 17:25:12.509500,click,,,f2
2024-11-03 17:25:12.713314,ct,0.599896,correct comission,f2
2024-11-03 17:25:13.244197,click,,,f3
2024-11-03 17:25:13.512446,ct,0.530883,correct comission,f3
2024-11-03 17:25:14.071932,click,,,f3
2024-11-03 17:25:14.320245,ct,0.559486,correct comission,f3
2024-11-03 17:25:14.955719,click,,,f2
2024-11-03 17:25:15.121957,ct,0.635474,correct comission,f2
2024-11-03 17:25:15.793745,click,,,f2
2024-11-03 17:25:15.930616,ct,0.671788,correct comission,f2
2024-11-03 17:25:16.548629,click,,,f2
2024-11-03 17:25:16.732615,ct,0.618013,correct comission,f2
2024-11-03 17:25:17.408130,click,,,f4
2024-11-03 17:25:17.533689,mt,0.675515,comission error,f4
2024-11-03 17:25:18.339559,ct,,omission error,f6
2024-11-03 17:25:19.033665,click,,,f2
2024-11-03 17:25:19.140353,ct,0.694106,correct comission,f2
2024-11-03 17:25:19.654061,click,,,f3
2024-11-03 17:25:20.085904,ct,0.513708,correct comission,f3
2024-11-03 17:25:21.009816,click,,,f2
2024-11-03 17:25:20.901488,ct,0.923912,correct comission,f2
2024-11-03 17:25:21.778826,click,,,f2
2024-11-03 17:25:21.713345,ct,0.877338,correct comission,f2
2024-11-03 17:25:22.537046,click,,,f2
2024-11-03 17:25:22.514160,ct,0.823701,correct comission,f2
2024-11-03 17:25:23.193638,click,,,f2
2024-11-03 17:25:23.330784,ct,0.679478,correct comission,f2
2024-11-03 17:25:23.881906,click,,,f3
2024-11-03 17:25:24.130899,ct,0.551122,correct comission,f3
2024-11-03 17:25:24.826428,click,,,f2
2024-11-03 17:25:24.939867,ct,0.695529,correct comission,f2
2024-11-03 17:25:25.647112,click,,,f2
2024-11-03 17:25:25.750323,ct,0.707245,correct comission,f2
2024-11-03 17:25:26.386377,click,,,f2
2024-11-03 17:25:26.553241,ct,0.636054,correct comission,f2
2024-11-03 17:25:27.075842,click,,,f4
2024-11-03 17:25:27.363810,mt,0.522601,comission error,f4
2024-11-03 17:25:27.749594,click,,,f3
2024-11-03 17:25:28.176908,ct,0.385784,correct comission,f3
2024-11-03 17:25:28.788015,click,,,f2
2024-11-03 17:25:28.996967,ct,0.611107,correct comission,f2
2024-11-03 17:25:29.379390,click,,,f3
2024-11-03 17:25:29.799516,ct,0.382423,correct comission,f3
2024-11-03 17:25:30.608553,ct,,omission error,f6
2024-11-03 17:25:31.390542,click,,,f2
2024-11-03 17:25:31.413461,ct,0.781989,correct comission,f2
2024-11-03 17:25:32.044370,click,,,f2
2024-11-03 17:25:32.221040,ct,0.630909,correct comission,f2
2024-11-03 17:25:32.784492,click,,,f2
2024-11-03 17:25:33.033007,ct,0.563452,correct comission,f2
2024-11-03 17:25:33.691495,click,,,f2
2024-11-03 17:25:33.833453,ct,0.658488,correct comission,f2
2024-11-03 17:25:34.467689,click,,,f2
2024-11-03 17:25:34.639742,ct,0.634236,correct comission,f2
2024-11-03 17:25:35.556771,click,,,f2
2024-11-03 17:25:35.448808,ct,0.917029,correct comission,f2
2024-11-03 17:25:36.210912,click,,,f2
2024-11-03 17:25:36.256587,ct,0.762104,correct comission,f2
2024-11-03 17:25:36.941491,click,,,f4
2024-11-03 17:25:37.065173,mt,0.684904,comission error,f4
2024-11-03 17:25:37.891952,ct,,omission error,f6
2024-11-03 17:25:38.355001,click,,,f3
2024-11-03 17:25:38.702073,ct,0.463049,correct comission,f3
2024-11-03 17:25:39.042975,click,,,f3
2024-11-03 17:25:39.510355,ct,0.340902,correct comission,f3
2024-11-03 17:25:39.972898,click,,,f3
2024-11-03 17:25:40.313741,ct,0.462543,correct comission,f3
2024-11-03 17:25:40.688625,click,,,f4
2024-11-03 17:25:41.125019,mt,0.374884,comission error,f4
2024-11-03 17:25:41.927358,ct,,omission error,f6
2024-11-03 17:25:42.510860,click,,,f2
2024-11-03 17:25:42.742525,ct,0.583502,correct comission,f2
2024-11-03 17:25:43.164682,click,,,f3
2024-11-03 17:25:43.554136,ct,0.422157,correct comission,f3
2024-11-03 17:25:43.905943,click,,,f3
2024-11-03 17:25:44.355677,ct,0.351807,correct comission,f3
2024-11-03 17:25:44.692448,click,,,f3
2024-11-03 17:25:45.172349,ct,0.336771,correct comission,f3
2024-11-03 17:25:45.979882,ct,,omission error,f6
2024-11-03 17:25:46.976990,click,,,f2
2024-11-03 17:25:46.794986,ct,0.997108,correct comission,f2
2024-11-03 17:25:47.594277,ct,,omission error,f6
2024-11-03 17:25:48.494804,click,,,f2
2024-11-03 17:25:48.405297,ct,0.900527,correct comission,f2
2024-11-03 17:25:49.380461,click,,,f2
2024-11-03 17:25:49.208214,ct,0.975164,correct comission,f2
2024-11-03 17:25:50.241670,click,,,f2
2024-11-03 17:25:50.028133,ct,1.033456,correct comission,f2
2024-11-03 17:25:50.934438,click,,,f2
2024-11-03 17:25:50.834116,ct,0.906305,correct comission,f2
2024-11-03 17:25:51.575365,click,,,f4
2024-11-03 17:25:51.633987,mt,0.741249,comission error,f4
2024-11-03 17:25:52.222530,click,,,f2
2024-11-03 17:25:52.448956,ct,0.588543,correct comission,f2
2024-11-03 17:25:52.997209,click,,,f3
2024-11-03 17:25:53.253200,ct,0.548253,correct comission,f3
2024-11-03 17:25:53.684088,click,,,f3
2024-11-03 17:25:54.061348,ct,0.430888,correct comission,f3
2024-11-03 17:25:54.874320,ct,,omission error,f6
2024-11-03 17:25:55.456137,click,,,f2
2024-11-03 17:25:55.688300,ct,0.581817,correct comission,f2
2024-11-03 17:25:56.374865,click,,,f2
2024-11-03 17:25:56.487935,ct,0.686565,correct comission,f2
