time,tag,tr,flag,tell
2024-11-03 16:57:44.143105,ct,0.836216,correct comission,f2
2024-11-03 16:57:45.040490,click,,,f2
2024-11-03 16:57:44.954908,ct,0.897385,correct comission,f2
2024-11-03 16:57:45.873331,click,,,f4
2024-11-03 16:57:45.762960,mt,0.918423,comission error,f4
2024-11-03 16:57:46.562762,ct,,omission error,f6
2024-11-03 16:57:47.041083,click,,,f3
2024-11-03 16:57:47.368351,ct,0.478321,correct comission,f3
2024-11-03 16:57:48.228281,click,,,f2
2024-11-03 16:57:48.172477,ct,0.85993,correct comission,f2
2024-11-03 16:57:48.867480,click,,,f2
2024-11-03 16:57:48.971779,ct,0.695003,correct comission,f2
2024-11-03 16:57:49.816003,click,,,f2
2024-11-03 16:57:49.769280,ct,0.844224,correct comission,f2
2024-11-03 16:57:50.496619,click,,,f2
2024-11-03 16:57:50.580277,ct,0.727339,correct comission,f2
2024-11-03 16:57:51.330649,click,,,f2
2024-11-03 16:57:51.382657,ct,0.750372,correct comission,f2
2024-11-03 16:57:52.255132,click,,,f2
2024-11-03 16:57:52.189522,ct,0.872475,correct comission,f2
2024-11-03 16:57:53.023859,click,,,f2
2024-11-03 16:57:52.999902,ct,0.834337,correct comission,f2
2024-11-03 16:57:53.864794,click,,,f2
2024-11-03 16:57:53.799633,ct,0.864892,correct comission,f2
2024-11-03 16:57:54.607742,mt,,correct omission,f5
2024-11-03 16:57:55.187550,click,,,f2
2024-11-03 16:57:55.406363,ct,0.579808,correct comission,f2
2024-11-03 16:57:56.018875,click,,,f2
2024-11-03 16:57:56.206100,ct,0.612512,correct comission,f2
2024-11-03 16:57:56.786294,click,,,f2
2024-11-03 16:57:57.014700,ct,0.580194,correct comission,f2
2024-11-03 16:57:57.593956,click,,,f2
2024-11-03 16:57:57.811959,ct,0.579256,correct comission,f2
2024-11-03 16:57:58.393980,click,,,f2
2024-11-03 16:57:58.627226,ct,0.582021,correct comission,f2
2024-11-03 16:57:59.410599,click,,,f2
2024-11-03 16:57:59.429239,ct,0.783373,correct comission,f2
2024-11-03 16:58:00.139513,click,,,f2
2024-11-03 16:58:00.241779,ct,0.710274,correct comission,f2
2024-11-03 16:58:00.914027,click,,,f2
2024-11-03 16:58:01.047905,ct,0.672248,correct comission,f2
2024-11-03 16:58:01.786015,click,,,f2
2024-11-03 16:58:01.857352,ct,0.73811,correct comission,f2
2024-11-03 16:58:02.438903,click,,,f2
2024-11-03 16:58:02.670164,ct,0.581551,correct comission,f2
2024-11-03 16:58:03.270266,click,,,f2
2024-11-03 16:58:03.472065,ct,0.600102,correct comission,f2
2024-11-03 16:58:03.989215,click,,,f4
2024-11-03 16:58:04.280513,mt,0.51715,comission error,f4
2024-11-03 16:58:05.077969,ct,,omission error,f6
2024-11-03 16:58:05.750379,click,,,f2
2024-11-03 16:58:05.886590,ct,0.67241,correct comission,f2
2024-11-03 16:58:06.517767,click,,,f2
2024-11-03 16:58:06.683980,ct,0.631177,correct comission,f2
2024-11-03 16:58:07.414414,click,,,f2
2024-11-03 16:58:07.484540,ct,0.730434,correct comission,f2
2024-11-03 16:58:08.169263,click,,,f2
2024-11-03 16:58:08.286251,ct,0.684723,correct comission,f2
2024-11-03 16:58:08.989391,click,,,f2
